"","sample","log_conc_truesoil","acronym"
"151",312,9.022168471965,"16S"
"152",319,8.92238086241381,"16S"
"153",516,8.96548395624015,"16S"
"154",648,9.2075799972275,"16S"
"155",303,9.21325603864536,"16S"
"156",310,9.12666330243452,"16S"
"157",317,8.91243111964536,"16S"
"158",426,8.91577265917996,"16S"
"159",309,8.89607422292165,"16S"
"160",401,8.66362626900429,"16S"
"161",408,8.22016116973981,"16S"
"162",415,8.7017119898314,"16S"
"163",327,9.08757272742466,"16S"
"164",522,8.89100177507105,"16S"
"165",735,9.37891359745005,"16S"
"166",742,9.47327539431623,"16S"
"167",749,9.42304866408234,"16S"
"168",756,9.32386732074576,"16S"
"169",652,9.4893357430127,"16S"
"170",601,8.98482228976411,"16S"
"171",705,9.28553399493714,"16S"
"172",712,9.43061505404468,"16S"
"173",719,9.15064264915837,"16S"
"174",524,9.232143969404,"16S"
"175",514,8.90865523461918,"16S"
"176",706,9.32661103849934,"16S"
"177",518,9.03020523967221,"16S"
"178",720,9.16534816234789,"16S"
"179",204,8.26257114456428,"16S"
"180",733,9.24670031482971,"16S"
"181",740,9.75478098614863,"16S"
"182",225,8.33207435076428,"16S"
"183",736,9.16664465811352,"16S"
"184",743,9.34800679796104,"16S"
"185",750,9.68328999968681,"16S"
"186",634,9.3984195111437,"16S"
"187",641,9.38355537638361,"16S"
"188",236,9.32975289191381,"16S"
"189",402,8.80079345908151,"16S"
"190",406,9.0931419774124,"16S"
"191",420,8.74509226700351,"16S"
"192",427,8.52168731425171,"16S"
"193",302,9.34789218673816,"16S"
"194",324,8.72269449071381,"16S"
"195",316,9.43234124931206,"16S"
"196",323,9.13117779681907,"16S"
"197",515,9.03956079130065,"16S"
"198",453,9.29443111532056,"16S"
"199",351,9.10405172348496,"16S"
"200",635,9.38464781550616,"16S"
"201",539,9.36761582269269,"16S"
"202",433,6.95591333814509,"16S"
"203",533,8.85084760231714,"16S"
"204",540,8.96507889287591,"16S"
"205",503,9.25688379200134,"16S"
"206",510,9.00475168946318,"16S"
"207",517,9.19332979397025,"16S"
"208",549,9.18277336304799,"16S"
"209",716,8.84405848180851,"16S"
"210",254,9.39152057049146,"16S"
"211",304,9.29737707682041,"16S"
"212",311,9.09769763966851,"16S"
"213",318,7.19529417154536,"16S"
"214",325,8.63409586572466,"16S"
"215",451,9.05729244263351,"16S"
"216",428,8.82229614036201,"16S"
"217",724,8.83931445339831,"16S"
"218",332,9.06927300221381,"16S"
"219",339,9.19414240380121,"16S"
"220",220,8.88493092036428,"16S"
"221",248,7.62770193304536,"16S"
"222",243,9.05555088581381,"16S"
"223",416,8.5333499434481,"16S"
"224",405,9.07806722710799,"16S"
"225",412,8.75572294246089,"16S"
"226",647,9.33403421000316,"16S"
"227",636,9.42702138564195,"16S"
"228",452,9.3392549288315,"16S"
"229",330,8.87264012765002,"16S"
"230",446,8.87339152969161,"16S"
"231",532,8.32067476855502,"16S"
"232",707,9.0278810787635,"16S"
"233",546,9.33456841721277,"16S"
"234",553,9.63892372010434,"16S"
"235",731,9.45272085084692,"16S"
"236",649,9.40844830952136,"16S"
"237",244,9.77573530606709,"16S"
"238",639,7.90074829494981,"16S"
"239",542,9.53240386098323,"16S"
"240",751,9.28628378503423,"16S"
"241",350,NA,"16S"
"242",507,8.90241911362833,"16S"
"243",703,9.3648830008414,"16S"
"244",207,8.12444929927149,"16S"
"245",612,9.67914880160206,"16S"
"246",528,8.93395705661774,"16S"
"247",626,9.38908127475986,"16S"
"248",651,9.46851530007989,"16S"
"249",754,9.25389086810578,"16S"
"250",709,9.1118094295705,"16S"
"251",245,9.28915595512041,"16S"
"252",252,9.44635388504842,"16S"
"253",637,8.18165077831776,"16S"
"254",227,9.13126086786428,"16S"
"255",255,9.71907769121977,"16S"
"256",438,9.16319555668019,"16S"
"257",250,9.38281839899416,"16S"
"258",633,9.19737359944736,"16S"
"259",331,9.57348659466756,"16S"
"260",655,9.40718052229251,"16S"
"261",646,9.09309832748436,"16S"
"262",337,8.95987079707944,"16S"
"263",344,9.62199501371961,"16S"
