sample,timepoint,treatment,location,block,log_conc_16S,conc_16S
419,3,Maize + Desmodium,Rubona,3,5.5615592428694995,364383.952930419
420,3,Napier + Desmodium,Rubona,3,5.378560722583099,239089.62044878714
421,3,Brachiaria + Desmodium,Rubona,3,5.308477534543899,203459.29464341435
422,3,maize monoculture,Rubona,4,4.8363827176572,68609.25723261085
423,3,Napier grass,Rubona,4,5.0903948006482995,123138.76700067006
424,3,Brachiaria cv. Mulato II,Rubona,4,5.0994371165456,125729.4791810509
425,3,Desmodium distortum,Rubona,4,3.2855226802164994,1929.8461161596492
426,3,Maize + Desmodium,Rubona,4,5.5285565158997,337719.7941605033
427,3,Napier + Desmodium,Rubona,4,5.1397354109638,137954.35371185612
428,3,Brachiaria + Desmodium,Rubona,4,5.4557645959415995,285604.2040778628
429,3,maize monoculture,Karama,1,5.4787008464312,301093.1300291755
430,3,Napier grass,Karama,1,5.547730079838599,352963.7296575795
431,3,Brachiaria cv. Mulato II,Karama,1,5.5239585391835,334163.1369317108
432,3,Desmodium distortum,Karama,1,5.8201433934089,660911.6288311644
433,3,Maize + Desmodium,Karama,1,3.5843022681953993,3839.7439801818814
434,3,Napier + Desmodium,Karama,1,5.683424137442599,482418.7038030528
435,3,Brachiaria + Desmodium,Karama,1,5.5359083027379,343485.4164749447
436,3,maize monoculture,Karama,2,5.750328876132899,562767.3280302408
437,3,Napier grass,Karama,2,5.804178336387699,637057.0649464618
438,3,Brachiaria cv. Mulato II,Karama,2,5.7915844867305,618848.7053628543
439,3,Desmodium distortum,Karama,2,5.5503359547788,355087.96645129705
440,3,Maize + Desmodium,Karama,2,5.5391839121455995,346085.90496147354
441,3,Napier + Desmodium,Karama,2,5.4293312217597,268739.3248511598
442,3,Brachiaria + Desmodium,Karama,2,5.392953655197999,247146.0394360689
443,3,maize monoculture,Karama,3,5.9049591749139,803450.5916810983
444,3,Napier grass,Karama,3,5.8466609717072995,702523.6866292428
445,3,Brachiaria cv. Mulato II,Karama,3,5.565134354868699,367395.9418199397
446,3,Desmodium distortum,Karama,3,5.5068599852712,321262.4634886688
447,3,Maize + Desmodium,Karama,3,5.627827670652399,424451.1070593635
448,3,Napier + Desmodium,Karama,3,5.832917824831799,680640.5588893516
449,3,Brachiaria + Desmodium,Karama,3,5.885936140605299,769017.3543609959
451,3,Napier grass,Karama,4,5.6907608982130995,490637.6801217061
452,3,Brachiaria cv. Mulato II,Karama,4,5.962504219229399,917284.846892354
453,3,Desmodium distortum,Karama,4,5.932920372275199,856880.7220785533
454,3,Maize + Desmodium,Karama,4,5.707630939621599,510071.3607157658
455,3,Napier + Desmodium,Karama,4,5.944926357936099,880899.4887549982
456,3,Brachiaria + Desmodium,Karama,4,5.704766500042199,506718.1961998582
501,4,maize monoculture,Rubona,1,5.551519194446899,356056.72627296933
502,4,Napier grass,Rubona,1,5.4447604912069,278458.5076011569
503,4,Brachiaria cv. Mulato II,Rubona,1,5.882402224644899,762785.1413758347
